"","G","fV","betaV","betaH","kstarN","phi","Protein_intake","Lipid_intake","lipid_absorption_efficiency","protein_absorption","lipid_absorption","Respiration","Excretion","Pellet_C","Pellet_N","Growth_G","Growth_N","G.2"
"1",0.006,0,0.858,0.665,0.6119194,0,0.062341134610557,0.0233044377337571,0.858,0.665,0.0534886934958579,0.0154974510929485,0.0629861445888063,0.013302557493683,0.0166594277555077,0.00239255165262138,0.006,0.00115384615384615
"2",0.006,0.01,0.858,0.665,0.6119194,0,0.0625217411197058,0.0230692903761249,0.858,0.665,0.0536436538807076,0.0153410781001231,0.0629847319808306,0.0133444386787775,0.0166062995150001,0.00239948303756709,0.006,0.00115384615384615
"3",0.006,0.02,0.858,0.665,0.6119194,0,0.0627023147069321,0.0228341858824134,0.858,0.665,0.0537985860185477,0.0151847336118049,0.0629833196303527,0.0133863122295451,0.0165531809589928,0.0024064131590228,0.006,0.00115384615384615
"4",0.006,0.03,0.858,0.665,0.6119194,0,0.0628828553812368,0.0225991242409036,0.858,0.665,0.0539534899171011,0.0150284176202009,0.062981907537302,0.0134281781480731,0.0165000720848383,0.00241334201733395,0.006,0.00115384615384615
"5",0.006,0.04,0.858,0.665,0.6119194,0,0.0630633631516175,0.0223641054398805,0.858,0.665,0.0541083655840878,0.0148721301175205,0.0629804957016084,0.0134700364364479,0.0164469728898896,0.00242026961284586,0.006,0.00115384615384615
"6",0.006,0.05,0.858,0.665,0.6119194,0,0.0632438380270687,0.0221291294676337,0.858,0.665,0.054263213027225,0.0147158710959764,0.0629790841232014,0.0135118870967552,0.016393883371501,0.00242719594590372,0.006,0.00115384615384615
"7",0.006,0.06,0.858,0.665,0.6119194,0,0.0634242800165817,0.0218941963124567,0.858,0.665,0.0544180322542271,0.0145596405477837,0.0629776728020107,0.0135537301310801,0.0163408035270276,0.00243412101685259,0.006,0.00115384615384615
"8",0.006,0.07,0.858,0.665,0.6119194,0,0.0636046891291439,0.0216593059626475,0.858,0.665,0.0545728232728055,0.0144034384651606,0.062976261737966,0.0135955655415067,0.0162877333538253,0.00244104482603741,0.006,0.00115384615384615
"9",0.006,0.08,0.858,0.665,0.6119194,0,0.06378506537374,0.0214244584065084,0.858,0.665,0.0547275860906689,0.0142472648403281,0.062974850930997,0.0136373933301184,0.0162346728492514,0.002447967373803,0.006,0.00115384615384615
"10",0.006,0.09,0.858,0.665,0.6119194,0,0.0639654087593516,0.0211896536323457,0.858,0.665,0.0548823207155237,0.0140911196655099,0.0629734403810336,0.0136792134989981,0.0161816220106638,0.00245488866049404,0.006,0.00115384615384615
"11",0.006,0.1,0.858,0.665,0.6119194,0,0.0641457192949564,0.0209548916284703,0.858,0.665,0.0550370271550726,0.0139350029329328,0.0629720300880054,0.0137210260502275,0.0161285808354214,0.00246180868645508,0.006,0.00115384615384615
"12",0.006,0.11,0.858,0.665,0.6119194,0,0.0643259969895293,0.0207201723831971,0.858,0.665,0.0551917054170162,0.0137789146348261,0.0629706200518422,0.0137628309858879,0.0160755493208842,0.00246872745203058,0.006,0.00115384615384615
"13",0.006,0.12,0.858,0.665,0.6119194,0,0.0645062418520417,0.0204854958848454,0.858,0.665,0.0553463555090518,0.0136228547634222,0.062969210272474,0.0138046283080597,0.0160225274644131,0.00247564495756485,0.006,0.00115384615384615
"14",0.006,0.13,0.858,0.665,0.6119194,0,0.064686453891462,0.0202508621217387,0.858,0.665,0.0555009774388744,0.0134668233109562,0.0629678007498305,0.0138464180188226,0.0159695152633701,0.00248256120340205,0.006,0.00115384615384615
"15",0.006,0.14,0.858,0.665,0.6119194,0,0.0648666331167549,0.0200162710822046,0.858,0.665,0.0556555712141757,0.0133108202696661,0.0629663914838417,0.0138882001202554,0.0159165127151177,0.00248947618988627,0.006,0.00115384615384615
"16",0.006,0.15,0.858,0.665,0.6119194,0,0.065046779536882,0.0197817227545753,0.858,0.665,0.0558101368426448,0.0131548456317926,0.0629649824744374,0.0139299746144362,0.01586351981702,0.00249638991736142,0.006,0.00115384615384615
"17",0.006,0.16,0.858,0.665,0.6119194,0,0.065226893160802,0.019547217127187,0.858,0.665,0.0559646743319681,0.0129988993895793,0.0629635737215475,0.0139717415034425,0.0158105365664415,0.00250330238617132,0.006,0.00115384615384615
"18",0.006,0.17,0.858,0.665,0.6119194,0,0.0654069739974702,0.0193127541883801,0.858,0.665,0.0561191836898294,0.0128429815352728,0.0629621652251021,0.014013500789351,0.0157575629607481,0.00251021359665967,0.006,0.00115384615384615
