"","G","fV","betaV","betaH","kstarN","phi","Protein_intake","Lipid_intake","protein_absorption_efficiency","lipid_absorption_efficiency","protein_absorption","lipid_absorption","Respiration","Excretion","Pellet_C","Pellet_N","Growth_G","Growth_N"
"1",0.0043,0,0.796,0.612,0.9670608,1e-05,0.0409482418325905,0.0236297655985502,0.796,0.612,0.032594800498742,0.0144614165463127,0.0427562170450547,0.00798248246327747,0.0175217903860859,0.00225768684698607,0.0043,0.000826923076923077
"2",0.0043,0.01,0.796,0.612,0.9670608,1e-05,0.0411298993827435,0.0233910810167743,0.796,0.612,0.0327393999086638,0.0143153415822659,0.0427547414909298,0.00802156338487797,0.0174662389085881,0.00226770256056207,0.0043,0.000826923076923077
"3",0.0043,0.02,0.796,0.612,0.9670608,1e-05,0.0413115198662372,0.0231524451378467,0.796,0.612,0.0328839698135248,0.0141692964243622,0.0427532662378871,0.00806063633213771,0.0174106987661969,0.00227771623046281,0.0043,0.000826923076923077
"4",0.0043,0.03,0.796,0.612,0.9670608,1e-05,0.0414931032944155,0.0229138579468623,0.796,0.612,0.0330285102223547,0.0140232810634797,0.0427517912858345,0.00809970130749713,0.0173551699554433,0.00228772785731372,0.0043,0.000826923076923077
"5",0.0043,0.04,0.796,0.612,0.9670608,1e-05,0.0416746496786177,0.0226753194289222,0.796,0.612,0.0331730211441797,0.0138772954905004,0.0427503166346799,0.00813875831339571,0.0172996524728598,0.00229773744174,0.0043,0.000826923076923077
"6",0.0043,0.05,0.796,0.612,0.9670608,1e-05,0.0418561590301777,0.0224368295691336,0.796,0.612,0.0333175025880215,0.0137313396963097,0.0427488422843312,0.00817780735227192,0.0172441463149801,0.00230774498436656,0.0043,0.000826923076923077
"7",0.0043,0.06,0.796,0.612,0.9670608,1e-05,0.0420376313604263,0.0221983883526097,0.796,0.612,0.0334619545628993,0.0135854136717972,0.0427473682346964,0.00821684842656321,0.0171886514783395,0.0023177504858181,0.0043,0.000826923076923077
"8",0.0043,0.07,0.796,0.612,0.9670608,1e-05,0.0422190666806882,0.02195999576447,0.796,0.612,0.0336063770778278,0.0134395174078556,0.0427458944856836,0.00825588153870609,0.0171331679594747,0.00232775394671902,0.0043,0.000826923076923077
"9",0.0043,0.08,0.796,0.612,0.9670608,1e-05,0.0424004650022847,0.0217216517898397,0.796,0.612,0.0337507701418186,0.0132936508953819,0.0427444210372006,0.00829490669113603,0.0170776957549239,0.00233775536769353,0.0043,0.000826923076923077
"10",0.0043,0.09,0.796,0.612,0.9670608,1e-05,0.0425818263365318,0.0214833564138504,0.796,0.612,0.0338951337638793,0.0131478141252765,0.0427429478891557,0.00833392388628753,0.0170222348612264,0.00234775474936553,0.0043,0.000826923076923077
"11",0.0043,0.1,0.796,0.612,0.9670608,1e-05,0.0427631506947406,0.0212451096216396,0.796,0.612,0.0340394679530135,0.0130020070884434,0.042741475041457,0.00837293312659409,0.0169667852749232,0.00235775209235867,0.0043,0.000826923076923077
"12",0.0043,0.11,0.796,0.612,0.9670608,1e-05,0.0429444380882184,0.0210069113983509,0.796,0.612,0.0341837727182218,0.0128562297757907,0.0427400024940125,0.00841193441448821,0.0169113469925567,0.00236774739729636,0.0043,0.000826923076923077
"13",0.0043,0.12,0.796,0.612,0.9670608,1e-05,0.0431256885282671,0.0207687617291338,0.796,0.612,0.0343280480685006,0.0127104821782299,0.0427385302467305,0.00845092775240142,0.0168559200106704,0.00237774066480175,0.0043,0.000826923076923077
"14",0.0043,0.13,0.796,0.612,0.9670608,1e-05,0.0433069020261848,0.0205306605991442,0.796,0.612,0.0344722940128431,0.0125647642866763,0.0427370582995193,0.00848991314276424,0.0168005043258097,0.00238773189549776,0.0043,0.000826923076923077
"15",0.0043,0.14,0.796,0.612,0.9670608,1e-05,0.0434880785932643,0.0202926079935438,0.796,0.612,0.0346165105602384,0.0124190760920488,0.0427355866522871,0.0085288905880062,0.0167450999345209,0.002397721090007,0.0043,0.000826923076923077
"16",0.0043,0.15,0.796,0.612,0.9670608,1e-05,0.0436692182407942,0.0200546038975003,0.796,0.612,0.0347606977196721,0.0122734175852702,0.0427341153049422,0.00856786009055585,0.0166897068333521,0.00240770824895189,0.0043,0.000826923076923077
"17",0.0043,0.16,0.796,0.612,0.9670608,1e-05,0.043850320980058,0.0198166482961875,0.796,0.612,0.0349048555001261,0.0121277887572668,0.0427326442573929,0.00860682165284075,0.0166343250188526,0.00241769337295455,0.0043,0.000826923076923077
"18",0.0043,0.17,0.796,0.612,0.9670608,1e-05,0.0440313868223353,0.0195787411747855,0.796,0.612,0.0350489839105789,0.0119821895989687,0.0427311735095477,0.00864577527728746,0.0165789544875732,0.00242767646263687,0.0043,0.000826923076923077
"19",0.0043,0.18,0.796,0.612,0.9670608,1e-05,0.0442124157789009,0.0193408825184801,0.796,0.612,0.0351930829600051,0.0118366201013098,0.042729703061315,0.00868472096632155,0.0165235952360661,0.00243765751862048,0.0043,0.000826923076923077
"20",0.0043,0.19,0.796,0.612,0.9670608,1e-05,0.0443934078610246,0.0191030723124632,0.796,0.612,0.0353371526573756,0.0116910802552275,0.0427282329126031,0.00872365872236763,0.0164682472608847,0.00244763654152676,0.0043,0.000826923076923077
"21",0.0043,0.2,0.796,0.612,0.9670608,1e-05,0.0445743630799722,0.0188653105419328,0.796,0.612,0.0354811930116579,0.0115455700516629,0.0427267630633206,0.00876258854784928,0.0164129105585843,0.00245761353197685,0.0043,0.000826923076923077
"22",0.0043,0.21,0.796,0.612,0.9670608,1e-05,0.0447552814470039,0.018627597192093,0.796,0.612,0.0356252040318151,0.0114000894815609,0.0427252935133761,0.00880151044518913,0.0163575851257209,0.00246758849059157,0.0043,0.000826923076923077
"23",0.0043,0.22,0.796,0.612,0.9670608,1e-05,0.0449361629733767,0.0183899322481538,0.796,0.612,0.0357691857268079,0.0112546385358701,0.0427238242626781,0.0088404244168088,0.0163022709588525,0.00247756141799158,0.0043,0.000826923076923077
"24",0.0043,0.23,0.796,0.612,0.9670608,1e-05,0.0451170076703422,0.0181523156953313,0.796,0.612,0.0359131381055924,0.0111092172055427,0.0427223553111352,0.00887933046512893,0.0162469680545383,0.00248753231479725,0.0043,0.000826923076923077
"25",0.0043,0.24,0.796,0.612,0.9670608,1e-05,0.0452978155491474,0.0179147475188475,0.796,0.612,0.0360570611771213,0.0109638254815346,0.042720886658656,0.00891822859256918,0.0161916764093389,0.00249750118162867,0.0043,0.000826923076923077
"26",0.0043,0.25,0.796,0.612,0.9670608,1e-05,0.0454785866210348,0.0176772277039305,0.796,0.612,0.0362009549503437,0.0108184633548055,0.0427194183051493,0.00895711880154823,0.0161363960198161,0.0025074680191057,0.0043,0.000826923076923077
"27",0.0043,0.26,0.796,0.612,0.9670608,1e-05,0.0456593208972429,0.0174397562358145,0.796,0.612,0.0363448194342054,0.0106731308163185,0.0427179502505237,0.00899600109448375,0.0160811268825336,0.00251743282784799,0.0043,0.000826923076923077
"28",0.0043,0.27,0.796,0.612,0.9670608,1e-05,0.0458400183890044,0.0172023330997395,0.796,0.612,0.0364886546376475,0.0105278278570406,0.042716482494688,0.00903487547379244,0.0160258689940558,0.00252739560847484,0.0043,0.000826923076923077
"29",0.0043,0.28,0.796,0.612,0.9670608,1e-05,0.0460206791075485,0.0169649582809518,0.796,0.612,0.0366324605696086,0.0103825544679425,0.042715015037551,0.00907374194189004,0.0159706223509492,0.00253735636160538,0.0043,0.000826923076923077
"30",0.0043,0.29,0.796,0.612,0.9670608,1e-05,0.0462013030640993,0.0167276317647034,0.796,0.612,0.036776237239023,0.0102373106399985,0.0427135478790216,0.00911260050119127,0.0159153869497812,0.00254731508785845,0.0043,0.000826923076923077
"31",0.0043,0.3,0.796,0.612,0.9670608,1e-05,0.0463818902698769,0.0164903535362525,0.796,0.612,0.036919984654822,0.0100920963641865,0.0427120810190085,0.00915145115410988,0.0158601627871209,0.00255727178785267,0.0043,0.000826923076923077
"32",0.0043,0.31,0.796,0.612,0.9670608,1e-05,0.0465624407360959,0.0162531235808632,0.796,0.612,0.0370637028259324,0.00994691163148828,0.0427106144574207,0.00919029390305865,0.0158049498595385,0.00256722646220637,0.0043,0.000826923076923077
"33",0.0043,0.32,0.796,0.612,0.9670608,1e-05,0.0467429544739674,0.0160159418838057,0.796,0.612,0.0372073917612781,0.00980175643288907,0.0427091481941671,0.00922912875044937,0.015749748163606,0.00257717911153766,0.0043,0.000826923076923077
"34",0.0043,0.33,0.796,0.612,0.9670608,1e-05,0.0469234314946971,0.015778808430356,0.796,0.612,0.0373510514697789,0.00965663075937787,0.0427076822291567,0.00926795569869283,0.0156945576958963,0.00258712973646438,0.0043,0.000826923076923077
"35",0.0043,0.34,0.796,0.612,0.9670608,1e-05,0.0471038718094864,0.0155417232057963,0.796,0.612,0.0374946819603512,0.00951153460194735,0.0427062165622986,0.00930677475019888,0.0156393784529842,0.00259707833760412,0.0043,0.000826923076923077
"36",0.0043,0.35,0.796,0.612,0.9670608,1e-05,0.0472842754295324,0.0153046861954147,0.796,0.612,0.0376382832419078,0.00936646795159382,0.0427047511935017,0.00934558590737636,0.0155842104314455,0.00260702491557422,0.0043,0.000826923076923077
"37",0.0043,0.36,0.796,0.612,0.9670608,1e-05,0.0474646423660277,0.0150676973845053,0.796,0.612,0.037781855323358,0.00922143079931725,0.0427032861226752,0.00938438917263313,0.0155290536278577,0.00261696947099179,0.0043,0.000826923076923077
"38",0.0043,0.37,0.796,0.612,0.9670608,1e-05,0.0476449726301594,0.0148307567583681,0.796,0.612,0.0379253982136069,0.00907642313612128,0.0427018213497282,0.00942318454837608,0.0154739080387993,0.00262691200447365,0.0043,0.000826923076923077
"39",0.0043,0.38,0.796,0.612,0.9670608,1e-05,0.0478252662331113,0.0145938643023092,0.796,0.612,0.0380689119215566,0.00893144495301322,0.0427003568745698,0.00946197203701113,0.0154187736608507,0.00263685251663641,0.0043,0.000826923076923077
"40",0.0043,0.39,0.796,0.612,0.9670608,1e-05,0.0480055231860618,0.0143570200016405,0.796,0.612,0.0382123964561052,0.008786496241004,0.0426988926971092,0.0095007516409432,0.0153636504905931,0.00264679100809638,0.0043,0.000826923076923077
"41",0.0043,0.4,0.796,0.612,0.9670608,1e-05,0.0481857435001852,0.0141202238416801,0.796,0.612,0.0383558518261474,0.00864157699110824,0.0426974288172557,0.00953952336257625,0.0153085385246097,0.00265672747946967,0.0043,0.000826923076923077
"42",0.0043,0.41,0.796,0.612,0.9670608,1e-05,0.0483659271866512,0.013883475807752,0.796,0.612,0.0384992780405744,0.0084966871943442,0.0426959652349186,0.00957828720431325,0.0152534377594846,0.00266666193137212,0.0043,0.000826923076923077
"43",0.0043,0.42,0.796,0.612,0.9670608,1e-05,0.0485460742566247,0.0136467758851859,0.796,0.612,0.0386426751082733,0.00835182684173378,0.0426945019500072,0.00961704316855621,0.0151983481918036,0.00267659436441931,0.0043,0.000826923076923077
"44",0.0043,0.43,0.796,0.612,0.9670608,1e-05,0.0487261847212666,0.0134101240593179,0.796,0.612,0.0387860430381282,0.00820699592430255,0.0426930389624307,0.00965579125770615,0.0151432698181537,0.00268652477922659,0.0043,0.000826923076923077
"45",0.0043,0.44,0.796,0.612,0.9670608,1e-05,0.0489062585917322,0.0131735203154897,0.796,0.612,0.0389293818390189,0.0080621944330797,0.0426915762720986,0.00969453147416312,0.0150882026351234,0.00269645317640902,0.0043,0.000826923076923077
"46",0.0043,0.45,0.796,0.612,0.9670608,1e-05,0.0490862958791738,0.0129369646390492,0.796,0.612,0.0390726915198223,0.00791742235909808,0.0426901138789203,0.00973326382032618,0.0150331466393025,0.00270637955658147,0.0043,0.000826923076923077
"47",0.0043,0.46,0.796,0.612,0.9670608,1e-05,0.0492662965947375,0.01270045701535,0.796,0.612,0.0392159720894111,0.0077726796933942,0.0426886517828053,0.00977198829859345,0.0149781018272823,0.0027163039203585,0.0043,0.000826923076923077
"48",0.0043,0.47,0.796,0.612,0.9670608,1e-05,0.0494462607495665,0.0124639974297519,0.796,0.612,0.0393592235566549,0.00762796642700817,0.0426871899836631,0.00981070491136203,0.0149230681956553,0.00272622626835448,0.0043,0.000826923076923077
"49",0.0043,0.48,0.796,0.612,0.9670608,1e-05,0.0496261883547982,0.0122275858676206,0.796,0.612,0.0395024459304194,0.00748328255098378,0.0426857284814031,0.0098494136610281,0.0148680457410156,0.00273614660118347,0.0043,0.000826923076923077
"50",0.0043,0.49,0.796,0.612,0.9670608,1e-05,0.049806079421566,0.0119912223143275,0.796,0.612,0.0396456392195665,0.00733862805636843,0.042684267275935,0.00988811454998681,0.0148130344599585,0.00274606491945931,0.0043,0.000826923076923077
"51",0.0043,0.5,0.796,0.612,0.9670608,1e-05,0.049985933960999,0.0117549067552503,0.796,0.612,0.0397888034329552,0.00719400293421318,0.0426828063671684,0.00992680758063238,0.0147580343490809,0.00275598122379562,0.0043,0.000826923076923077
"52",0.0043,0.51,0.796,0.612,0.9670608,1e-05,0.0501657519842212,0.0115186391757724,0.796,0.612,0.0399319385794401,0.00704940717557269,0.0426813457550128,0.00996549275535803,0.0147030454049808,0.00276589551480571,0.0043,0.000826923076923077
"53",0.0043,0.52,0.796,0.612,0.9670608,1e-05,0.0503455335023526,0.0112824195612831,0.796,0.612,0.0400750446678727,0.00690484077150528,0.042679885439378,0.010004170076556,0.0146480676242578,0.00277580779310269,0.0043,0.000826923076923077
"54",0.0043,0.53,0.796,0.612,0.9670608,1e-05,0.0505252785265086,0.011046247897178,0.796,0.612,0.0402181217071009,0.00676030371307291,0.0426784254201737,0.0100428395466177,0.0145931010035128,0.00278571805929939,0.0043,0.000826923076923077
"55",0.0043,0.54,0.796,0.612,0.9670608,1e-05,0.0507049870677997,0.010810124168858,0.796,0.612,0.0403611697059686,0.00661579599134112,0.0426769656973097,0.0100815011679333,0.0145381455393481,0.00279562631400842,0.0043,0.000826923076923077
"56",0.0043,0.55,0.796,0.612,0.9670608,1e-05,0.0508846591373322,0.0105740483617306,0.796,0.612,0.0405041886733164,0.00647131759737913,0.0426755062706956,0.0101201549428922,0.0144832012283672,0.0028055325578421,0.0043,0.000826923076923077
"57",0.0043,0.56,0.796,0.612,0.9670608,1e-05,0.0510642947462082,0.0103380204612087,0.796,0.612,0.0406471786179817,0.00632686852225975,0.0426740471402415,0.0101588008738828,0.0144282680671755,0.00281543679141256,0.0043,0.000826923076923077
"58",0.0043,0.57,0.796,0.612,0.9670608,1e-05,0.0512438939055245,0.0101020404527115,0.796,0.612,0.0407901395487975,0.00618244875705944,0.042672588305857,0.0101974389632925,0.0143733460523791,0.00282533901533162,0.0043,0.000826923076923077
"59",0.0043,0.58,0.796,0.612,0.9670608,1e-05,0.0514234566263742,0.00986610832166379,0.796,0.612,0.0409330714745938,0.00603805829285824,0.0426711297674521,0.0102360692135077,0.0143184351805859,0.0028352392302109,0.0043,0.000826923076923077
"60",0.0043,0.59,0.796,0.612,0.9670608,1e-05,0.0516029829198453,0.00963022405349649,0.796,0.612,0.0410759744041969,0.00589369712073985,0.0426696715249368,0.0102746916269139,0.0142635354484051,0.00284513743666174,0.0043,0.000826923076923077
"61",0.0043,0.6,0.796,0.612,0.9670608,1e-05,0.0517824727970218,0.00939438763364636,0.796,0.612,0.0412188483464294,0.00574936523179157,0.042668213578221,0.0103133062058957,0.0142086468524472,0.00285503363529526,0.0043,0.000826923076923077
"62",0.0043,0.61,0.796,0.612,0.9670608,1e-05,0.0519619262689828,0.00915859904755608,0.796,0.612,0.0413616933101103,0.00560506261710432,0.0426667559272146,0.0103519129528365,0.0141537693893242,0.00286492782672229,0.0043,0.000826923076923077
"63",0.0043,0.62,0.796,0.612,0.9670608,1e-05,0.052141343346803,0.00892285828067423,0.796,0.612,0.0415045093040552,0.00546078926777263,0.0426652985718279,0.0103905118701189,0.0140989030556494,0.00287482001155346,0.0043,0.000826923076923077
"64",0.0043,0.63,0.796,0.612,0.9670608,1e-05,0.0523207240415529,0.00868716531845529,0.796,0.612,0.0416472963370761,0.00531654517489464,0.0426638415119708,0.0104291029601245,0.0140440478480374,0.00288471019039913,0.0043,0.000826923076923077
"65",0.0043,0.64,0.796,0.612,0.9670608,1e-05,0.0525000683642982,0.00845152014635964,0.796,0.612,0.0417900544179814,0.0051723303295721,0.0426623847475534,0.010467686225234,0.0139892037631044,0.00289459836386941,0.0043,0.000826923076923077
