Feed,Protein_intake,Lipid_intake,G,betaV,betaH
BM0%,0.055787294,0.015854598,0.0233,0.69,0.62
BM1.6%,0.054445302,0.015224052,0.027,0.69,0.62
BM3.1%,0.063021373,0.018238331,0.0243,0.69,0.62
BM6.3%,0.058165992,0.016159475,0.023,0.69,0.62
BM12.5%,0.046723974,0.012665478,0.0235,0.69,0.62
BM25%,0.064687431,0.016437488,0.0252,0.69,0.62
BMHS,0.102869141,0.0214051,0.0326,0.69,0.62
